File Created on  2/15, at 13:50:51:340
#Frame RunTime Hour Min Sec mSec AudTimeStmp
186 1.851000 13 51  2  95 0
187 1.861000 13 51  2 105 0
188 1.871000 13 51  2 115 0
189 1.882000 13 51  2 126 0
190 1.891000 13 51  2 135 0
191 1.901000 13 51  2 145 0
192 1.911000 13 51  2 155 0
193 1.922000 13 51  2 166 0
194 1.931000 13 51  2 175 0
195 1.941000 13 51  2 185 0
196 1.951000 13 51  2 195 0
197 1.961000 13 51  2 205 0
198 1.971000 13 51  2 215 0
199 1.981000 13 51  2 225 0
200 1.991000 13 51  2 235 0
201 2.001000 13 51  2 245 0
202 2.011000 13 51  2 255 0
203 2.021000 13 51  2 265 0
204 2.031000 13 51  2 275 0
205 2.041000 13 51  2 285 0
206 2.051000 13 51  2 295 0
207 2.061000 13 51  2 305 0
208 2.071000 13 51  2 315 0
209 2.081000 13 51  2 325 0
210 2.091000 13 51  2 335 0
211 2.101000 13 51  2 345 0
212 2.111000 13 51  2 355 0
213 2.121000 13 51  2 365 0
214 2.131000 13 51  2 375 0
215 2.141000 13 51  2 385 0
216 2.151000 13 51  2 395 0
217 2.163000 13 51  2 407 0
218 2.171000 13 51  2 415 0
219 2.181000 13 51  2 425 0
220 2.192000 13 51  2 435 0
221 2.201000 13 51  2 445 0
222 2.212000 13 51  2 455 0
223 2.221000 13 51  2 465 0
224 2.231000 13 51  2 475 0
225 2.241000 13 51  2 485 0
226 2.251000 13 51  2 495 0
227 2.261000 13 51  2 505 0
228 2.271000 13 51  2 515 0
229 2.281000 13 51  2 525 0
230 2.291000 13 51  2 535 0
231 2.301000 13 51  2 545 0
232 2.311000 13 51  2 555 0
233 2.321000 13 51  2 565 0
234 2.331000 13 51  2 575 0
235 2.341000 13 51  2 585 0
236 2.351000 13 51  2 595 0
237 2.361000 13 51  2 605 0
238 2.371000 13 51  2 615 0
239 2.381000 13 51  2 625 0
240 2.391000 13 51  2 635 0
241 2.401000 13 51  2 645 0
242 2.411000 13 51  2 655 0
243 2.421000 13 51  2 665 0
244 2.431000 13 51  2 675 0
245 2.442000 13 51  2 685 0
246 2.451000 13 51  2 695 0
247 2.461000 13 51  2 705 0
248 2.471000 13 51  2 715 0
249 2.481000 13 51  2 725 0
250 2.491000 13 51  2 735 0
251 2.501000 13 51  2 745 0
252 2.511000 13 51  2 755 0
253 2.521000 13 51  2 765 0
254 2.531000 13 51  2 775 0
255 2.541000 13 51  2 785 0
256 2.551000 13 51  2 795 0
257 2.561000 13 51  2 805 0
258 2.571000 13 51  2 815 0
259 2.581000 13 51  2 825 0
260 2.591000 13 51  2 835 0
261 2.601000 13 51  2 845 0
262 2.611000 13 51  2 855 0
263 2.621000 13 51  2 865 0
264 2.632000 13 51  2 875 0
265 2.641000 13 51  2 885 0
266 2.651000 13 51  2 895 0
267 2.661000 13 51  2 905 0
268 2.671000 13 51  2 915 0
269 2.681000 13 51  2 925 0
270 2.691000 13 51  2 935 0
271 2.701000 13 51  2 945 0
272 2.711000 13 51  2 955 0
273 2.721000 13 51  2 965 0
274 2.731000 13 51  2 975 0
275 2.741000 13 51  2 985 0
276 2.751000 13 51  2 995 0
